Sr. No,Temperature (°C),Humidity (%),CO2 (%),O2 (%)
1,37.343716470989335,49.00196949761875,0.3397394542797824,22.126187925563038
2,36.64808433241689,46.74190097681343,0.34481199137635654,21.175772898709866
3,37.94090546625444,54.736495290917766,0.3997866739331066,20.581584417925683
4,36.734934535628334,51.524458345284366,0.4224349548227786,20.686613532336064
5,37.49284646944936,50.869621609956155,0.4250075190034796,21.473909235282957
6,37.890911435888654,51.03674971939963,0.35281252404202285,21.14130804388851
7,37.07490112709267,40.35034360112745,0.3501482345950654,20.77543143741268
8,38.433049812116636,49.17030584335209,0.44690177613273707,20.889747841924656
9,37.62789212616318,53.400225878011526,0.4137537887439616,21.378318687323567
10,37.53990074202937,49.23854786674367,0.3687853965900456,20.36685165409801
11,38.40076420391609,41.90027693591095,0.5221365874765037,20.763946251853955
12,37.816129596698396,47.16371007693619,0.5096598917929362,21.16519705103728
13,37.20556658663065,56.09030537380638,0.4038568548732755,20.49617563184829
14,37.63759420838715,51.01600501069791,0.396618042513099,20.69187546444722
15,39.1321447554345,45.00137086801156,0.3761236361579472,21.08093034212645
16,37.14588293672599,53.99441505107851,0.3906136744150511,20.749224421696788
17,37.52190709641588,53.98644199660612,0.3783629247982722,20.91778546220346
18,36.90643323018781,50.205635659670456,0.3729305184989159,21.65265860520652
19,37.71744648133867,48.5348027050724,0.33486486805850824,20.7454739713545
20,37.31170556259124,48.93969035863306,0.42294108273352504,21.12740531922805
21,37.34071666596958,43.13109564134973,0.40918608305123916,22.068058316996048
22,37.092924142240754,50.351651718577834,0.48505921070138464,21.228381460805775
23,37.871473818113564,43.405318646357756,0.36863828365766105,20.47134100524716
24,37.639883853864106,52.43512948234014,0.36950293361188297,21.11525018144667
25,38.79927236448817,49.06625851297548,0.28809144215667265,20.493398611592866
26,37.04500019869319,50.800357205719976,0.3254493258050712,20.796444667229547
27,37.35790605892261,52.700356614914284,0.30368943608143956,21.13808123790983
28,38.06266108622283,48.48350112226203,0.41089372858555173,21.461542068186628
29,38.18014749647495,49.14251412638964,0.39947203395813446,20.49204307727004
30,37.48554923825107,57.926934974986615,0.3545028129513985,21.801425177187582
31,37.37151078833296,53.38252725657868,0.36542389539674713,20.335979792477968
32,37.101221053563265,50.31029914128284,0.320845863233699,21.348320046487956
33,37.19633654479115,46.681239378013,0.3791582418407534,21.44984179187137
34,37.79769031659816,54.005060903540176,0.4699043837197196,20.96572503229333
35,37.8504145499125,56.36911342994799,0.45309970376541675,20.86875407222638
36,37.83849704868753,54.33732944685039,0.3913385509634572,21.649469307631314
37,37.63954866861077,51.794483035046426,0.38643645947203825,21.115816443060453
38,37.04854499647604,47.10851058748268,0.4459412977486378,21.28967655107031
39,37.02752186461012,51.685889339530696,0.34798607265414483,20.678291340154964
40,38.510285078410995,41.17930267977847,0.3552839305188726,21.51768815512655
41,37.745603832705996,49.99066926857883,0.4432267366283565,22.024623689351746
42,37.46935418917816,49.872138660030885,0.4180905248730481,21.86392762382189
43,38.555528989317445,45.216954543602235,0.2904059477126796,21.44013512367097
44,37.639229394723706,56.504068764518024,0.49370306748171494,20.477562415899918
45,37.07438830416844,48.70249984381651,0.36649290051135763,21.283188629853186
46,37.78929626745769,55.05465642055927,0.435798209855054,20.522189365683946
47,38.18835904730114,53.70176835996801,0.41039126788799496,20.78694146407719
48,36.32360676505732,51.849665366125144,0.4512967078802599,21.241477665855285
49,36.91417282634122,52.59176856081715,0.49865341969075105,21.912847801194257
50,37.87041448791496,55.72907605867151,0.3919355277173279,21.349506142924266
51,38.01490709425313,63.27216170655397,0.3834555188152944,21.230308649140767
52,38.549703760251255,51.072423090286065,0.3268402759990564,20.2256978249104
53,37.87296611226189,49.115739737476765,0.3586987677484783,21.62150536298861
54,37.948849421747006,54.14776598153939,0.3637420112709223,19.857791318716327
55,37.59265725804441,37.24006066572559,0.3722891844016163,21.048521255093032
56,37.483652625952956,44.148561469629115,0.33079180488035353,21.59620638052141
57,37.604767115131395,51.65546791042781,0.42399907061012637,22.039941545549127
58,37.74498115472636,53.06268079411949,0.3510719324242992,20.86073927994731
59,36.764983206594536,52.40555832794925,0.3685273258541863,21.106219560007062
60,37.20086033290108,47.10153241337763,0.35959078002488204,21.281374411929054
61,36.90301440848704,46.035563732874365,0.420942329681644,20.597322833498207
62,37.0937907964996,46.77875256874067,0.3631672477418318,21.74738291785193
63,37.752128622242076,44.654548269438884,0.39862532564609543,20.792178364798353
64,37.51397883055768,51.932022970349934,0.46144531036289815,21.10724705622279
65,37.708840702508624,51.933398210665,0.3932161577426308,21.09458853061423
66,37.34062584237693,56.90411296948943,0.40943239589257213,20.954030728920305
67,36.420929525773964,44.63923414437198,0.4127716954672017,21.199804619340618
68,36.7828672955193,46.19091969212714,0.406661272241265,21.361331394751815
69,36.51020286207373,44.8611915572979,0.4040077537491689,20.42736969050034
70,38.13569427847935,48.56649086644704,0.3360498001791361,21.441241444701628
71,31.562646599561038,67.65645666708829,0.8714622977171811,13.333671858921424
72,37.904868343261036,49.943768691005836,0.32771715362308246,20.695170187514968
73,37.269150642206206,52.692833722552024,0.44118568146054754,21.253413152508713
74,36.86537984184335,50.37652469017305,0.43360142077080727,21.019713285552132
75,37.399160986244446,47.09712125711803,0.31483315303431586,20.64244000205511
76,36.80795550399379,43.88668125644224,0.4623280982953969,21.08354436381389
77,37.255529288920116,50.106769500105436,0.3860966206523907,20.766899421479973
78,38.30867934872253,57.4740339644478,0.35130407920050366,21.033146249130073
79,38.61100017348598,24.516451414201,1.7641178831882667,18.785525931052884
80,37.9345520941035,50.45618714554224,0.3653561602588614,20.18310519116739
81,38.04829689459106,51.58038702283854,0.37275353134900596,21.073452867683603
82,37.71898167298708,49.580882310319396,0.4146296807322165,20.844163708850804
83,36.874038869763275,58.87031693203593,0.39962348344841137,20.652404830574856
84,38.42775165739713,53.86269904701253,0.399584374763542,20.939986713054964
85,37.60120889364521,50.17459736597301,0.43427186423975184,21.250158440314436
86,36.43235262496015,47.29390009614558,0.20003338754859745,20.681235920459393
87,36.98807327671833,54.83137740657551,0.3569858355076699,20.218996454816107
88,37.60445963673888,50.12325000864923,0.4212876247075606,20.128507924263523
89,37.661623593766784,57.375580504215336,0.4008260895699763,20.72165893040116
90,37.4442405517471,51.87005525355474,0.3388443237696615,20.788699493420328
91,37.595434839315786,50.24905122546526,0.36010940771042504,21.189999213699846
92,37.262338291158905,50.425363124914796,0.45747407528634504,21.155585924967742
93,37.55242634522055,50.600592456325444,0.41375580317282024,21.11695261013691
94,37.82106050193829,44.33026727923513,0.4474335758027313,19.74072464537099
95,37.36552840579642,62.57627019176541,0.4558318964792577,20.93074906775735
96,37.62849872279291,51.25518068409266,0.4065805516797867,21.371835121449276
97,36.67722277355333,45.69149820009354,0.41866497551978393,21.202581516135734
98,36.6319789702243,53.66728450037881,0.38827566598332436,21.242968660134434
99,37.79407863221793,46.00331078588552,0.39434298500747894,21.408406622029762
100,37.06209329761629,55.68004603127879,0.34107360845300394,20.829209207786853
101,37.285560070113156,49.260671268464,0.5203226758743268,20.51854273169273
102,37.2073965515482,52.675421793675085,0.352139535629331,20.9695080515346
103,35.06190700051619,37.98634099968481,0.7513173947110002,16.273216057718557
